id_,created_at,tweetID,tweet,username,id_str,name,entity,commentcount,likes,retweets,quotes,replies,sentiment,bidang,gender,link,imageUrl
610,February-24,1.75479E+18,"Mobil Toyota Rush pelat merah B-1540-PQS yang disiram Mensos Risma ternyata pajaknya mati! Heboh Mensos Risma Cuci Mobil Dinas yang Pajaknya Mati. From oto (@) on X SEDEKAH AIR BERSIH UNTUK MENDIANG ORANGTUA

?Web | https://t.co/9tX12mLmIG
?FB Fanpage | Mitra Wakaf
?Instagram | MitraWakaf
?Twitter | MitraWakaf

?WhatsApp | https://t.co/RnwrXc0PoT

Mitra Wakaf Indonesia
Kebaikan yang Terus Mengalir",muflihiin,729707484,Muflihiin khalid,Toyota,NULL,NULL,NULL,NULL,786,NULL,NULL,NULL,https://twitter.com/muflihiin,https://pbs.twimg.com/media/Fdnw76WXoAAwhyR.jpg:large
1292,February-24,1.75482E+18,Mobilitas harian kamu terlampau tinggi? Siap-siap ban mobil minta diganti tuh! ? Dari ciri-ciri di bawah ini ada yang pernah kamu alami gak? Coba scroll ke bawah! #Suzuki #SuzukiIndonesia...,SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,56,56290,34,34920,56,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1754821112889061671,https://pbs.twimg.com/media/GFpgfLuaUAAil5F.jpg:large
1293,February-24,1.75482E+18,"Ban gundul tengah, samping atau sisi tertentu Hal ini umunya disebabkan oleh kebiasaan berkendara pengemudinya, jika kamu menemukan ciri ini, segera ganti ban mobil dengan yang baru.Translate post",SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,0,56136,35,34457,0,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1754821126562492904,https://pbs.twimg.com/profile_images/1670997078397558784/H9lEhaOq_200x200.jpg
1121,February-24,1.75485E+18,"Ia terlindas mobil Mitsubishi Pajero ketika sedang bermain di depan rumahnya di Jalan Adyaksa, Kecamatan Panakukkang, Makassar, Sulawesi Selatan. Embedded witchita gorft (@asianmalinois) on X 20, silly goofy",asianmalinois,1.06132E+18,witchita gorft,Mitsubishi,NULL,NULL,NULL,NULL,313,NULL,NULL,NULL,https://twitter.com/asianmalinois,https://pbs.twimg.com/profile_images/1695382362023227392/kjFHnmOP_200x200.jpg
1294,February-24,1.75491E+18,"Info Daerah Hari Selasa, 06 Februari 2024. Tim penyidik Tindak Pidana Khusus Kejaksan Negeri Polewali Mandar melakukan penyitaan terhadap Barang Bukti berupa 1 (satu) unit Mobil Mitsubishi...",KejaksaanRI,7.05277E+17,Kejaksaan RI,Mitsubishi,1,320261,234,22430,1,NULL,NULL,NULL,https://twitter.com/KejaksaanRI/status/1754912769466630255,https://pbs.twimg.com/media/GFqznEsbAAI1AVg.jpg:large
957,February-24,1.75493E+18,"Seorang balita berusia 15 bulan mengalami kecelakaan tragis. Ia terlindas mobil Mitsubishi Pajero ketika sedang bermain di depan rumahnya di Jalan Adyaksa, yeyes (@likamasa_) on X Loading...",likamasa_,9.94541E+17,yeyes,Mitsubishi,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,https://twitter.com/likamasa_,https://pbs.twimg.com/profile_images/1526780452270673921/-Q4LAHum_200x200.jpg
1295,February-24,1.75503E+18,RT @AsepAhmadHusaer : Ditemukan kunci mobil toyota di daerah parakan waas bisa dm kalau ada pemilik nya Hatur nuhunTranslate post,PRFMnews,150589950,Radio PRFM,Toyota,0,317046,3075,758495,0,NULL,NULL,NULL,https://twitter.com/PRFMnews/status/1755031239642456567,https://pbs.twimg.com/media/GFsTxXsbAAA3dEF.jpg:large
1298,February-24,1.75505E+18,TAHUN BARU MOBIL HONDA BARU -- ▪️DP Mini 5% ▪️Diskon Super Spesial ▪️Asuransi Kendaraan* ▪️Asuransi Jiwa* ▪️Free Jasa Service selama 4 Tahun / 50.000 KM ▪️Free Garansi...,DealerJogjaa,1.3643E+18,Honda Mobil Yogyakarta,Honda,1,10,135,129,1,NULL,NULL,NULL,https://twitter.com/DealerJogjaa/status/1755051030801436833,https://pbs.twimg.com/media/GFsxmxba8AAiBGb.jpg:large
1302,February-24,1.75505E+18,Hyundai Indonesia Siap Luncurkan 5 Mobil Baru Tahun Ini!Translate post,IDNTimes,388190238,IDN Times,Hyundai,0,400840,297,1217787,0,NULL,NULL,NULL,https://twitter.com/IDNTimes/status/1755053904130363594,https://pbs.twimg.com/profile_images/1724291491164717056/4eicKfLo_200x200.jpg
1308,February-24,1.75507E+18,"Periode BUCIN (Berburu Cari Poin) sama J&T telah ditutup!?? Selamat kepada para pemenang yang telah memenangkan hadiah Mobil Wuling Air EV, Motor Vespa Sprint, iPhone 15 Pro, Logam mulia...",jntexpressid,3253429832,J&T Express Indonesia,Wuling,13,161113,8,114169,13,NULL,NULL,NULL,https://twitter.com/jntexpressid/status/1755070420577898860,https://pbs.twimg.com/media/GFsrMLUXIAAm4-n.jpg:large
